step,loss,ppl,lr,tok_s
5710,6.2683,527.6,0.000296,261
5720,6.1443,466.06,0.000296,265
5730,6.3542,574.93,0.000296,281
5740,6.5282,684.19,0.000296,277
5750,6.2362,510.93,0.000296,274
5760,6.505,668.45,0.000296,275
5770,6.4388,625.63,0.000296,279
5780,6.7259,833.72,0.000296,278
5790,6.3414,567.61,0.000296,274
5800,6.6548,776.47,0.000296,273
5810,6.6249,753.6,0.000296,266
5820,6.3969,599.99,0.000295,263
5830,6.4409,626.98,0.000295,264
5840,6.2389,512.29,0.000295,264
5850,6.5419,693.58,0.000295,267
5860,6.3523,573.79,0.000295,269
5870,6.8481,942.09,0.000295,271
5880,6.4633,641.18,0.000295,269
5890,6.5562,703.62,0.000295,270
5900,6.8104,907.26,0.000295,271
5910,6.4912,659.34,0.000295,271
5920,6.5561,703.54,0.000295,272
5930,6.5641,709.21,0.000295,273
5940,6.2389,512.32,0.000295,273
5950,6.4248,616.95,0.000295,272
5960,6.4181,612.85,0.000295,268
5970,6.1628,474.75,0.000295,269
5980,5.7436,312.19,0.000295,269
5990,6.5952,731.59,0.000295,269
6000,6.163,474.85,0.000295,268
6010,6.3325,562.57,0.000295,268
6020,6.2958,542.29,0.000295,268
6030,6.1374,462.86,0.000295,268
6040,6.6053,738.97,0.000295,268
6050,6.2525,519.3,0.000295,268
6060,5.9137,370.07,0.000295,269
6070,6.2035,494.48,0.000295,270
6080,5.9683,390.84,0.000295,270
6090,6.1951,490.36,0.000295,271
6100,6.3337,563.21,0.000295,271
6110,6.2429,514.37,0.000295,271
6120,6.3745,586.7,0.000295,271
6130,6.3603,578.42,0.000295,271
6140,5.9717,392.16,0.000295,271
6150,6.4935,660.86,0.000295,271
6160,6.7748,875.5,0.000295,271
6170,6.1389,463.56,0.000295,270
6180,6.7542,857.63,0.000295,270
6190,6.0643,430.23,0.000295,269
6200,6.2376,511.62,0.000295,269
6210,6.6033,737.52,0.000295,269
6220,6.4966,662.86,0.000295,270
6230,6.2473,516.63,0.000294,270
6240,6.2473,516.64,0.000294,270
6250,6.0873,440.24,0.000294,270
6260,6.3336,563.16,0.000294,270
6270,6.1207,455.2,0.000294,269
6280,6.2392,512.43,0.000294,270
6290,6.6066,739.97,0.000294,270
6300,5.9176,371.51,0.000294,270
6310,6.2852,536.59,0.000294,270
6320,5.7793,323.54,0.000294,271
6330,5.7818,324.34,0.000294,271
6340,5.7261,306.78,0.000294,272
6350,6.0035,404.84,0.000294,272
6360,6.598,733.64,0.000294,273
6370,6.2412,513.47,0.000294,274
6380,6.3807,590.36,0.000294,274
6390,6.0487,423.56,0.000294,275
6400,6.0178,410.69,0.000294,276
6410,6.1325,460.61,0.000294,276
6420,6.501,665.79,0.000294,277
6430,6.2042,494.82,0.000294,277
6440,6.1449,466.36,0.000294,278
6450,6.4815,652.92,0.000294,278
6460,6.0805,437.24,0.000294,279
6470,5.875,356.02,0.000294,279
6480,6.6312,758.4,0.000294,280
6490,6.7831,882.76,0.000294,280
6500,6.0499,424.05,0.000294,281
6510,5.7059,300.63,0.000294,281
6520,6.1821,484.01,0.000294,282
6530,6.479,651.32,0.000294,282
6540,6.5068,669.7,0.000294,282
6550,5.9666,390.17,0.000294,283
6560,6.1398,463.98,0.000294,283
6570,6.2094,497.43,0.000294,283
6580,6.565,709.79,0.000294,284
6590,6.1745,480.32,0.000294,284
6600,6.1805,483.25,0.000293,285
6610,5.9202,372.49,0.000293,285
6620,5.9237,373.79,0.000293,285
6630,5.7793,323.54,0.000293,286
6640,6.2356,510.6,0.000293,286
6650,6.081,437.45,0.000293,286
6660,6.5527,701.11,0.000293,287
6670,6.1438,465.82,0.000293,287
6680,5.9301,376.19,0.000293,287
6690,5.8632,351.84,0.000293,288
6700,5.9481,383.01,0.000293,288
6710,6.1175,453.71,0.000293,288
6720,6.2535,519.83,0.000293,289
6730,5.7728,321.43,0.000293,289
6740,5.8383,343.21,0.000293,289
6750,6.074,434.41,0.000293,290
6760,5.8255,338.83,0.000293,290
6770,5.7034,299.9,0.000293,290
6780,5.9132,369.9,0.000293,290
